workload,dataset,split,evaluation_role,query_id,trace_order,graph_compute_placement,kv_storage_placement,baseline,memory_token_tile,calibration_label,technology_nm,frequency_mhz,latency_ns,total_incremental_area_mm2,graph_score_groups,graph_message_groups,cached_qk_groups,cached_pv_groups,scale_groups,local_buffer_read_bytes,local_buffer_write_bytes,modeled_hbm_read_bytes,q8k8_energy_nj,p8v8_energy_nj,q8k2_lut_energy_nj,p8v2_lut_energy_nj,scale_energy_nj,vadd_energy_nj,local_buffer_energy_nj,hbm_read_energy_nj,communication_energy_nj,reducer_energy_nj,dynamic_energy_nj,leakage_power_all_on_w,leakage_power_activity_gated_w,leakage_energy_nj,total_energy_nj,average_power_w,peak_dynamic_power_w,peak_total_power_w,energy_delay_product_j_s
cora_node,cora_node,validation,config_selection,0,0,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,346890240.000000,62.380000,91226112.000000,91226112.000000,167903232.000000,167903232.000000,518258688.000000,0.000000,0.000000,41401356.000000,1824522.240000,1824522.240000,839516.160000,839516.160000,5182586.880000,0.000000,0.000000,480255.729600,21103430.860800,526516.224000,32620866.494400,0.204200,0.044675,15497321.472000,48118187.966400,0.138713,14.028800,14.073475,0.016692
cora_node,cora_node,validation,config_selection,0,0,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,345784320.000000,62.380000,91226112.000000,91226112.000000,167903232.000000,167903232.000000,518258688.000000,2057306112.000000,2919235584.000000,41401356.000000,1824522.240000,1824522.240000,839516.160000,839516.160000,5182586.880000,257163.264000,2780194.406400,480255.729600,12874206.412800,269352.960000,27171836.452800,0.204200,0.047141,16300618.629120,43472455.081920,0.125721,14.028800,14.075941,0.015032
cora_node,cora_node,validation,config_selection,1,1,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,294236160.000000,62.380000,51904512.000000,51904512.000000,95551488.000000,95551488.000000,294912000.000000,0.000000,0.000000,29674260.000000,1038090.240000,1038090.240000,477757.440000,477757.440000,2949120.000000,0.000000,0.000000,344221.416000,13458053.529600,324403.200000,20107493.505600,0.204200,0.041075,12085750.272000,32193243.777600,0.109413,10.137600,10.178675,0.009472
cora_node,cora_node,validation,config_selection,1,1,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,293621760.000000,62.380000,51904512.000000,51904512.000000,95551488.000000,95551488.000000,294912000.000000,1038090240.000000,1660944384.000000,29674260.000000,1038090.240000,1038090.240000,477757.440000,477757.440000,2949120.000000,129761.280000,1515611.750400,344221.416000,9305692.569600,194641.920000,17470744.296000,0.204200,0.042857,12583747.768320,30054492.064320,0.102358,10.137600,10.180457,0.008825
cora_node,cora_node,validation,config_selection,2,2,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,304611840.000000,62.380000,70385664.000000,70385664.000000,114819072.000000,114819072.000000,370409472.000000,0.000000,0.000000,38052744.000000,1407713.280000,1407713.280000,574095.360000,574095.360000,3704094.720000,0.000000,0.000000,441411.830400,17812370.227200,432537.600000,26354031.657600,0.204200,0.043820,13348090.828800,39702122.486400,0.130337,13.107200,13.151020,0.012094
cora_node,cora_node,validation,config_selection,2,2,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,303936000.000000,62.380000,70385664.000000,70385664.000000,114819072.000000,114819072.000000,370409472.000000,1447034880.000000,2252341248.000000,38052744.000000,1407713.280000,1407713.280000,574095.360000,574095.360000,3704094.720000,180879.360000,2074922.188800,441411.830400,12024230.707200,251658.240000,22640814.326400,0.204200,0.046124,14018744.064000,36659558.390400,0.120616,13.107200,13.153324,0.011142
cora_node,cora_node,validation,config_selection,3,3,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,301378560.000000,62.380000,47185920.000000,47185920.000000,78053376.000000,78053376.000000,250478592.000000,0.000000,0.000000,26881680.000000,943718.400000,943718.400000,390266.880000,390266.880000,2504785.920000,0.000000,0.000000,311827.488000,12230590.464000,294912.000000,18010086.432000,0.204200,0.040220,12121445.683200,30131532.115200,0.099979,9.216000,9.256220,0.009081
cora_node,cora_node,validation,config_selection,3,3,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,300856320.000000,62.380000,47185920.000000,47185920.000000,78053376.000000,78053376.000000,250478592.000000,943718400.000000,1509949440.000000,26881680.000000,943718.400000,943718.400000,390266.880000,390266.880000,2504785.920000,117964.800000,1377828.864000,311827.488000,8455716.864000,176947.200000,15613041.696000,0.204200,0.041840,12587828.428800,28200870.124800,0.093735,9.216000,9.257840,0.008484
cora_node,cora_node,validation,config_selection,4,4,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,296977920.000000,62.380000,81788928.000000,81788928.000000,287834112.000000,287834112.000000,739246080.000000,0.000000,0.000000,39128256.000000,1635778.560000,1635778.560000,1439170.560000,1439170.560000,7392460.800000,0.000000,0.000000,453887.769600,18882546.892800,471072.768000,33349866.470400,0.204200,0.043865,13026936.460800,46376802.931200,0.156162,12.492800,12.536665,0.013773
cora_node,cora_node,validation,config_selection,4,4,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,296424960.000000,62.380000,81788928.000000,81788928.000000,287834112.000000,287834112.000000,739246080.000000,1849688064.000000,2617245696.000000,39128256.000000,1635778.560000,1635778.560000,1439170.560000,1439170.560000,7392460.800000,231211.008000,2495191.449600,453887.769600,11483794.636800,239861.760000,28446305.664000,0.204200,0.046061,13653630.082560,42099935.746560,0.142026,12.492800,12.538861,0.012479
